model,features,accuracy,precision,recall,f1,roc_auc
logistic_regression,all,0.814226,0.783698,0.747686,0.765268,0.888917
logistic_regression,selected,0.814589,0.784671,0.747293,0.765526,0.888779
random_forest,all,0.876287,0.864882,0.823150,0.843500,0.945099
random_forest,selected,0.893012,0.880564,0.851316,0.865693,0.957467
naive_bayes,all,0.705056,0.600598,0.811311,0.690231,0.802016
naive_bayes,selected,0.673923,0.563366,0.866465,0.682790,0.788882
xgboost,all,0.902943,0.888220,0.869831,0.878930,0.965023
xgboost,selected,0.911192,0.895650,0.883690,0.889629,0.970277
catboost,all,0.889353,0.872713,0.850923,0.861680,0.955506
catboost,selected,0.891535,0.875561,0.853504,0.864392,0.957342
ensemble_rf_xgb,all,0.902238,0.889587,0.866128,0.877701,0.961906
ensemble_xgb_cat,all,0.905261,0.891996,0.871627,0.881694,0.965539
ensemble_cat_rf,all,0.894035,0.882914,0.851260,0.866798,0.958259
ensemble_all_equal,all,0.903715,0.893022,0.866016,0.879312,0.963547
ensemble_all_weighted,all,0.904443,0.891547,0.869887,0.880584,0.965238
ensemble_stacking_lr,all,0.904874,0.890857,0.871963,0.881309,0.965190
ensemble_rf_xgb,selected,0.909260,0.895957,0.877911,0.886842,0.967689
ensemble_xgb_cat,selected,0.906715,0.892436,0.875161,0.883714,0.967128
ensemble_cat_rf,selected,0.895216,0.881189,0.856814,0.868831,0.960562
ensemble_all_equal,selected,0.906329,0.893775,0.872412,0.882964,0.966531
ensemble_all_weighted,selected,0.906647,0.892597,0.874769,0.883593,0.967039
ensemble_stacking_lr,selected,0.909374,0.893778,0.880940,0.887313,0.968318